Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,ROY
2019-20,NBA,Ja Morant\moranja01,(V),20,MEM,67,31,17.8,3.9,7.3,0.9,0.3,0.477,0.335,0.776,3.8,0.088,1
2018-19,NBA,Luka Dončić\doncilu01,(V),19,DAL,72,32.2,21.2,7.8,6,1.1,0.3,0.427,0.327,0.713,4.9,0.101,1
2017-18,NBA,Ben Simmons\simmobe01,(V),21,PHI,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0,0.56,9.2,0.162,1
2016-17,NBA,Malcolm Brogdon\brogdma01,(V),24,MIL,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1,1
2015-16,NBA,Karl-Anthony Towns\townska01,(V),20,MIN,82,32,18.3,10.5,2,0.7,1.7,0.542,0.341,0.811,8.3,0.151,1
2014-15,NBA,Andrew Wiggins\wiggian01,(V),19,MIN,82,36.2,16.9,4.6,2.1,1,0.6,0.437,0.31,0.76,2.1,0.034,1
2013-14,NBA,Michael Carter-Williams\cartemi01,(V),22,PHI,70,34.5,16.7,6.2,6.3,1.9,0.6,0.405,0.264,0.703,1.3,0.026,1
2012-13,NBA,Damian Lillard\lillada01,(V),22,POR,82,38.6,19,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088,1
2011-12,NBA,Kyrie Irving\irvinky01,(V),19,CLE,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,1
2010-11,NBA,Blake Griffin\griffbl01,(V),21,LAC,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,1
2009-10,NBA,Tyreke Evans\evansty01,(V),20,SAC,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,1
2008-09,NBA,Derrick Rose\rosede01,(V),20,CHI,81,37,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,1
2007-08,NBA,Kevin Durant\duranke01,(V),19,SEA,80,34.6,20.3,4.4,2.4,1,0.9,0.43,0.288,0.873,2.3,0.04,1
2006-07,NBA,Brandon Roy\roybr01,(V),22,POR,57,35.4,16.8,4.4,4,1.2,0.2,0.456,0.377,0.838,4.8,0.114,1
2005-06,NBA,Chris Paul\paulch01,(V),20,NOK,78,36,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.178,1
2004-05,NBA,Emeka Okafor\okafoem01,(V),22,CHA,73,35.6,15.1,10.9,0.9,0.8,1.7,0.447,0,0.609,4,0.074,1
2003-04,NBA,LeBron James\jamesle01,(V),19,CLE,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,1
2002-03,NBA,Amar'e Stoudemire\stoudam01,(V),20,PHO,82,31.3,13.5,8.8,1,0.8,1.1,0.472,0.2,0.661,6.2,0.116,1
2001-02,NBA,Pau Gasol\gasolpa01,(V),21,MEM,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121,1
2000-01,NBA,Mike Miller\millemi01,(V),20,ORL,82,29.1,11.9,4,1.7,0.6,0.2,0.436,0.407,0.711,5.3,0.106,1
1999-00,NBA,Steve Francis (Tie)\francst01,(V),22,HOU,77,36.1,18,5.3,6.6,1.5,0.4,0.445,0.345,0.786,6.4,0.111,1
1999-00,NBA,Elton Brand (Tie)\brandel01,(V),20,CHI,81,37,20.1,10,1.9,0.8,1.6,0.482,0,0.685,7.5,0.121,1
1998-99,NBA,Vince Carter\cartevi01,(V),22,TOR,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136,1
1997-98,NBA,Tim Duncan\duncati01,(V),21,SAS,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192,1
1996-97,NBA,Allen Iverson\iversal01,(V),21,PHI,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,1
1995-96,NBA,Damon Stoudamire\stoudda01,(V),22,TOR,70,40.9,19,4,9.3,1.4,0.3,0.426,0.395,0.797,4.3,0.072,1
1994-95,NBA,Jason Kidd (Tie)\kiddja01,(V),21,DAL,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066,1
1994-95,NBA,Grant Hill (Tie)\hillgr01,(V),22,DET,70,38.3,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,5.4,0.097,1
1993-94,NBA,Chris Webber\webbech01,(V),20,GSW,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0,0.532,7.8,0.154,1
1992-93,NBA,Shaquille O'Neal\onealsh01,(V),20,ORL,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,1
1991-92,NBA,Larry Johnson\johnsla02,(V),22,CHH,82,37.2,19.2,11,3.6,1,0.6,0.49,0.227,0.829,8.9,0.14,1
1990-91,NBA,Derrick Coleman\colemde01,(V),23,NJN,74,35.2,18.4,10.3,2.2,1,1.3,0.467,0.342,0.731,5.8,0.108,1
1989-90,NBA,David Robinson\robinda01,(V),24,SAS,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241,1
1988-89,NBA,Mitch Richmond\richmmi01,(V),23,GSW,79,34.4,22,5.9,4.2,1,0.2,0.468,0.367,0.81,5.6,0.098,1
1987-88,NBA,Mark Jackson\jacksma01,(V),22,NYK,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113,1
1986-87,NBA,Chuck Person\persoch01,(V),22,IND,82,36,18.8,8.3,3.6,1.1,0.2,0.468,0.355,0.747,5.4,0.088,1
1985-86,NBA,Patrick Ewing\ewingpa01,(V),23,NYK,50,35.4,20,9,2,1.1,2.1,0.474,0,0.739,3.1,0.084,1
1984-85,NBA,Michael Jordan\jordami01,(V),21,CHI,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,0.213,1
1983-84,NBA,Ralph Sampson\sampsra01,(V),23,HOU,82,32.8,21,11.1,2,0.9,2.4,0.523,0.25,0.661,6,0.108,1
1982-83,NBA,Terry Cummings\cummite01,(V),21,SDC,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164,1
1981-82,NBA,Buck Williams\willibu01,(V),21,NJN,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,0.152,1
1980-81,NBA,Darrell Griffith\griffda01,(V),22,UTA,81,35.4,20.6,3.6,2.4,1.3,0.5,0.464,0.192,0.716,0.4,0.006,1
1979-80,NBA,Larry Bird\birdla01,(V),23,BOS,82,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182,1
